state,twitter_account
AL,https://twitter.com/ALcomBirmingham
AK,https://twitter.com/adndotcom
AZ,https://twitter.com/azcpolitics
AR,https://twitter.com/ArkansasOnline
CA,https://twitter.com/LATpoliticsCA
CO,https://twitter.com/denverpolitics
CT,https://twitter.com/hartfordcourant
DE,https://twitter.com/delawareonline
FL,https://twitter.com/PoliticsTBTimes
GA,https://twitter.com/AJCGaPolitics
HI,https://twitter.com/starpolitics
ID,https://twitter.com/IdahoStatesman
IL,https://twitter.com/ChiTribCloutSt
IN,https://twitter.com/IndyStar
IA,https://twitter.com/IaLegis
KS,https://twitter.com/CJOnline
KY,https://twitter.com/BGPolitics
LA,https://twitter.com/theadvocatebr
ME,https://twitter.com/pressherald
MD,https://twitter.com/baltimoresun
MA,https://twitter.com/GlobePolitical
MI,https://twitter.com/freep
MN,https://twitter.com/StarTribune
MS,https://twitter.com/sunherald
MO,https://twitter.com/columbiatribune
MT,https://twitter.com/billingsgazette
NE,https://twitter.com/NPTelegraph
NV,https://twitter.com/reviewjournal
NH,https://twitter.com/UnionLeader
NJ,https://twitter.com/NJ_Politics
NM,https://twitter.com/ABQJournal
NY,https://twitter.com/timesunion
NC,https://twitter.com/theobserver
ND,https://twitter.com/bistrib
OH,https://twitter.com/OhioPoliticsNow
OK,https://twitter.com/TheOklahoman_
OR,https://twitter.com/OregonianPol
PA,https://twitter.com/PittsburghPG
RI,https://twitter.com/projo
SC,https://twitter.com/postandcourier
SD,https://twitter.com/argusleader
TN,https://twitter.com/Tennessean
TX,https://twitter.com/TexasTribune
UT,https://twitter.com/SLTribPolitics
VT,https://twitter.com/bfp_news
VA,https://twitter.com/RTDNEWS
WA,https://twitter.com/seattletimes
WV,https://twitter.com/wvgazettemail
WI,https://twitter.com/WiStateJournal
WY,https://twitter.com/CSTribune
US,https://twitter.com/NCSLorg